   -0.7655	   0.07623	   0.07715
   -0.7575	   0.07672	   0.07766
   -0.7495	   0.07722	   0.07816
   -0.7415	   0.07771	   0.07866
   -0.7335	   0.07821	   0.07916
   -0.7255	    0.0787	   0.07966
   -0.7174	    0.0792	   0.08016
   -0.7094	   0.07969	   0.08066
   -0.7014	   0.08019	   0.08116
   -0.6934	   0.08068	   0.08166
   -0.6854	   0.08118	   0.08216
   -0.6774	   0.08167	   0.08267
   -0.6693	   0.08217	   0.08317
   -0.6613	   0.08266	   0.08367
   -0.6533	   0.08316	   0.08417
   -0.6453	   0.08365	   0.08467
   -0.6373	   0.08415	   0.08517
   -0.6293	   0.08464	   0.08567
   -0.6212	   0.08514	   0.08617
   -0.6132	   0.08563	   0.08667
   -0.6052	   0.08613	   0.08717
   -0.5972	   0.08662	   0.08768
   -0.5892	   0.08712	   0.08818
   -0.5812	   0.08761	   0.08868
   -0.5731	   0.08811	   0.08918
   -0.5651	    0.0886	   0.08968
   -0.5571	    0.0891	   0.09018
   -0.5491	   0.08959	   0.09068
   -0.5411	   0.09009	   0.09118
   -0.5331	   0.09058	   0.09168
   -0.5251	   0.09108	   0.09218
    -0.517	   0.09157	   0.09269
    -0.509	   0.09207	   0.09319
    -0.501	   0.09256	   0.09369
    -0.493	   0.09306	   0.09416
    -0.485	   0.09349	   0.09458
    -0.477	   0.09386	   0.09492
   -0.4689	   0.09416	   0.09521
   -0.4609	    0.0944	   0.09543
   -0.4529	   0.09457	   0.09558
   -0.4449	   0.09468	   0.09568
   -0.4369	   0.09473	    0.0957
   -0.4289	   0.09471	   0.09567
   -0.4208	   0.09462	   0.09556
   -0.4128	   0.09448	    0.0954
   -0.4048	   0.09426	   0.09517
   -0.3968	   0.09399	   0.09487
   -0.3888	   0.09365	   0.09452
   -0.3808	   0.09324	   0.09409
   -0.3727	   0.09277	   0.09361
   -0.3647	   0.09224	   0.09306
   -0.3567	   0.09164	   0.09244
   -0.3487	   0.09098	   0.09176
   -0.3407	   0.09026	   0.09102
   -0.3327	   0.08947	   0.09021
   -0.3246	   0.08861	   0.08934
   -0.3166	   0.08769	    0.0884
   -0.3086	   0.08671	    0.0874
   -0.3006	   0.08566	   0.08633
   -0.2926	   0.08455	    0.0852
   -0.2846	   0.08338	   0.08401
   -0.2766	   0.08214	   0.08275
   -0.2685	   0.08083	   0.08143
   -0.2605	   0.07946	   0.08004
   -0.2525	   0.07803	   0.07859
   -0.2445	   0.07653	   0.07708
   -0.2365	   0.07497	    0.0755
   -0.2285	   0.07335	   0.07385
   -0.2204	   0.07166	   0.07215
   -0.2124	    0.0699	   0.07037
   -0.2044	   0.06808	   0.06854
   -0.1964	    0.0662	   0.06664
   -0.1884	   0.06425	   0.06467
   -0.1804	   0.06224	   0.06264
   -0.1723	   0.06017	   0.06055
   -0.1643	   0.05803	   0.05839
   -0.1563	   0.05583	   0.05617
   -0.1483	   0.05356	   0.05388
   -0.1403	   0.05122	   0.05153
   -0.1323	   0.04883	   0.04912
   -0.1242	   0.04637	   0.04664
   -0.1162	   0.04384	    0.0441
   -0.1082	   0.04125	   0.04149
   -0.1002	    0.0386	   0.03882
  -0.09218	   0.03588	   0.03608
  -0.08417	    0.0331	   0.03328
  -0.07615	   0.03025	   0.03042
  -0.06814	   0.02734	   0.02749
  -0.06012	   0.02437	    0.0245
   -0.0521	   0.02133	   0.02144
  -0.04409	   0.01823	   0.01832
  -0.03607	   0.01506	   0.01513
  -0.02806	   0.01183	   0.01188
  -0.02004	   0.00853	  0.008567
  -0.01202	  0.005169	  0.005188
 -0.004008	  0.001744	  0.001745
  0.004008	 -0.001744	 -0.001745
   0.01202	 -0.005169	 -0.005188
   0.02004	  -0.00853	 -0.008567
   0.02806	  -0.01183	  -0.01188
   0.03607	  -0.01506	  -0.01513
   0.04409	  -0.01823	  -0.01832
    0.0521	  -0.02133	  -0.02144
   0.06012	  -0.02437	   -0.0245
   0.06814	  -0.02734	  -0.02749
   0.07615	  -0.03025	  -0.03042
   0.08417	   -0.0331	  -0.03328
   0.09218	  -0.03588	  -0.03608
    0.1002	   -0.0386	  -0.03882
    0.1082	  -0.04125	  -0.04149
    0.1162	  -0.04384	   -0.0441
    0.1242	  -0.04637	  -0.04664
    0.1323	  -0.04883	  -0.04912
    0.1403	  -0.05122	  -0.05153
    0.1483	  -0.05356	  -0.05388
    0.1563	  -0.05583	  -0.05617
    0.1643	  -0.05803	  -0.05839
    0.1723	  -0.06017	  -0.06055
    0.1804	  -0.06224	  -0.06264
    0.1884	  -0.06425	  -0.06467
    0.1964	   -0.0662	  -0.06664
    0.2044	  -0.06808	  -0.06854
    0.2124	   -0.0699	  -0.07037
    0.2204	  -0.07166	  -0.07215
    0.2285	  -0.07335	  -0.07385
    0.2365	  -0.07497	   -0.0755
    0.2445	  -0.07653	  -0.07708
    0.2525	  -0.07803	  -0.07859
    0.2605	  -0.07946	  -0.08004
    0.2685	  -0.08083	  -0.08143
    0.2766	  -0.08214	  -0.08275
    0.2846	  -0.08338	  -0.08401
    0.2926	  -0.08455	   -0.0852
    0.3006	  -0.08566	  -0.08633
    0.3086	  -0.08671	   -0.0874
    0.3166	  -0.08769	   -0.0884
    0.3246	  -0.08861	  -0.08934
    0.3327	  -0.08947	  -0.09021
    0.3407	  -0.09026	  -0.09102
    0.3487	  -0.09098	  -0.09176
    0.3567	  -0.09164	  -0.09244
    0.3647	  -0.09224	  -0.09306
    0.3727	  -0.09277	  -0.09361
    0.3808	  -0.09324	  -0.09409
    0.3888	  -0.09365	  -0.09452
    0.3968	  -0.09399	  -0.09487
    0.4048	  -0.09426	  -0.09517
    0.4128	  -0.09448	   -0.0954
    0.4208	  -0.09462	  -0.09556
    0.4289	  -0.09471	  -0.09567
    0.4369	  -0.09473	   -0.0957
    0.4449	  -0.09468	  -0.09568
    0.4529	  -0.09457	  -0.09558
    0.4609	   -0.0944	  -0.09543
    0.4689	  -0.09416	  -0.09521
     0.477	  -0.09386	  -0.09492
