0.1 0.1 9.91257 6.69449e-005
0.1 0.2 9.82513 0.000133823
0.1 0.3 9.73769 0.00020057
0.1 0.4 9.65022 0.000267118
0.1 0.5 9.56272 0.000333404
0.1 0.6 9.4752 0.000399359
0.1 0.7 9.38763 0.000464922
0.1 0.8 9.30002 0.000530024
0.1 0.9 9.21235 0.000594606
0.1 1 9.12462 0.000658597
0.1 1.1 9.03682 0.000721942
0.1 1.2 8.94895 0.000784571
0.1 1.3 8.86099 0.00084643
0.1 1.4 8.77293 0.000907449
0.1 1.5 8.68477 0.000967577
0.1 1.6 8.5965 0.00102675
0.1 1.7 8.5081 0.00108491
0.1 1.8 8.41957 0.00114199
0.1 1.9 8.3309 0.00119795
0.1 2 8.24207 0.00125273
0.1 2.1 8.15307 0.00130627
0.1 2.2 8.06389 0.00135852
0.1 2.3 7.97452 0.00140943
0.1 2.4 7.88495 0.00145895
0.1 2.5 7.79516 0.00150704
0.1 2.6 7.70513 0.00155363
0.1 2.7 7.61487 0.00159869
0.1 2.8 7.52434 0.00164217
0.1 2.9 7.43353 0.00168403
0.1 3 7.34244 0.00172423
0.1 3.1 7.25104 0.00176273
0.1 3.2 7.15932 0.00179949
0.1 3.3 7.06727 0.00183447
0.1 3.4 6.97486 0.00186764
0.1 3.5 6.88209 0.00189898
0.1 3.6 6.78893 0.00192843
0.1 3.7 6.69539 0.00195598
0.1 3.8 6.60143 0.0019816
0.1 3.9 6.50704 0.00200527
0.1 4 6.41222 0.00202695
0.1 4.1 6.31695 0.00204665
0.1 4.2 6.22122 0.00206431
0.1 4.3 6.12501 0.00207994
0.1 4.4 6.02832 0.00209352
0.1 4.5 5.93114 0.00210503
0.1 4.6 5.83346 0.00211446
0.1 4.7 5.73528 0.00212181
0.1 4.8 5.63658 0.00212706
0.1 4.9 5.53737 0.00213022
0.1 5 5.43764 0.00213127
0.1 5.1 5.33739 0.00213022
0.1 5.2 5.23663 0.00212706
0.1 5.3 5.13535 0.00212181
0.1 5.4 5.03356 0.00211446
0.1 5.5 4.93127 0.00210503
0.1 5.6 4.82847 0.00209352
0.1 5.7 4.72518 0.00207994
0.1 5.8 4.62141 0.00206431
