
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# IsoCurve 0, 100 points
# x y z type
-2 -2  99 i
 1.27273 -1.98394  32.5423 i
 1.31313 -1.98394  34.4758 i
 1.35354 -1.98394  36.5295 i
 1.39394 -1.98394  38.7086 i
 1.43434 -1.98394  41.0185 i
 1.47475 -1.98394  43.4648 i
 1.51515 -1.98394  46.0532 i
 1.55556 -1.98394  48.7898 i
 1.59596 -1.98394  51.6806 i
 1.63636 -1.98394  54.7318 i
 1.67677 -1.98394  57.9497 i
 1.71717 -1.98394  61.341 i
 1.75758 -1.98394  64.9125 i
 1.79798 -1.98394  68.6708 i
 1.83838 -1.98394  72.6232 i
 1.87879 -1.98394  76.7767 i
 1.91919 -1.98394  81.1387 i
 1.9596 -1.98394  85.7169 i
 2 -1.98394  90.5187 i

# IsoCurve 2, 100 points
# x y z type
-2 -1.96787  98.0387 i
-1.9596 -1.96787  93.0881 i
-1.91919 -1.96787  88.361 i
-1.87879 -1.96787  83.8496 i
-1.83838 -1.96787  79.5465 i
-1.79798 -1.96787  75.4444 i
-1.75758 -1.96787  71.5359 i
-1.71717 -1.96787  67.8142 i
-1.67677 -1.96787  64.2723 i
-1.63636 -1.96787  60.9034 i
-1.59596 -1.96787  57.7011 i
-1.55556 -1.96787  54.659 i
-1.51515 -1.96787  51.7708 i
-1.47475 -1.96787  49.0304 i
-1.43434 -1.96787  46.4319 i
-1.39394 -1.96787  43.9695 i
-1.35354 -1.96787  41.6378 i
-1.31313 -1.96787  39.4312 i
-1.27273 -1.96787  37.3444 i
-1.23232 -1.96787  35.3723 i
-1.19192 -1.96787  33.5101 i
-1.15152 -1.96787  31.7528 i
-1.11111 -1.96787  30.0958 i
-1.07071 -1.96787  28.5348 i
-1.0303 -1.96787  27.0652 i
-0.989899 -1.96787  25.6831 i
-0.949495 -1.96787  24.3843 i
-0.909091 -1.96787  23.1652 i
-0.868687 -1.96787  22.0218 i
-0.828283 -1.96787  20.9509 i
-0.787879 -1.96787  19.949 i
-0.747475 -1.96787  19.0128 i
-0.707071 -1.96787  18.1394 i
-0.666667 -1.96787  17.3259 i
-0.626263 -1.96787  16.5696 i
-0.585859 -1.96787  15.8679 i
-0.545455 -1.96787  15.2184 i
-0.505051 -1.96787  14.6189 i
-0.464646 -1.96787  14.0673 i
-0.424242 -1.96787  13.5616 i
-0.383838 -1.96787  13.1002 i
-0.343434 -1.96787  12.6814 i
-0.30303 -1.96787  12.3038 i
-0.262626 -1.96787  11.9661 i
-0.222222 -1.96787  11.6671 i
-0.181818 -1.96787  11.406 i
-0.141414 -1.96787  11.1819 i
-0.10101 -1.96787  10.9942 i
-0.0606061 -1.96787  10.8424 i
-0.020202 -1.96787  10.7261 i
 0.020202 -1.96787  10.6453 i
 0.0606061 -1.96787  10.5999 i
 0.10101 -1.96787  10.5901 i
 0.141414 -1.96787  10.6162 i
 0.181818 -1.96787  10.6787 i
 0.222222 -1.96787  10.7782 i
 0.262626 -1.96787  10.9156 i
 0.30303 -1.96787  11.0917 i
 0.343434 -1.96787  11.3077 i
 0.383838 -1.96787  11.5649 i
 0.424242 -1.96787  11.8647 i
 0.464646 -1.96787  12.2087 i
 0.505051 -1.96787  12.5987 i
 0.545455 -1.96787  13.0366 i
 0.585859 -1.96787  13.5245 i
 0.626263 -1.96787  14.0646 i
 0.666667 -1.96787  14.6593 i
 0.707071 -1.96787  15.3112 i
 0.747475 -1.96787  16.0229 i
 0.787879 -1.96787  16.7974 i
 0.828283 -1.96787  17.6378 i
 0.868687 -1.96787  18.5471 i
 0.909091 -1.96787  19.5288 i
 0.949495 -1.96787  20.5864 i
 0.989899 -1.96787  21.7235 i
 1.0303 -1.96787  22.944 i
 1.07071 -1.96787  24.2519 i
 1.11111 -1.96787  25.6514 i
 1.15152 -1.96787  27.1467 i
 1.19192 -1.96787  28.7424 i
 1.23232 -1.96787  30.443 i
 1.27273 -1.96787  32.2535 i
 1.31313 -1.96787  34.1786 i
 1.35354 -1.96787  36.2236 i
 1.39394 -1.96787  38.3938 i
 1.43434 -1.96787  40.6945 i
 1.47475 -1.96787  43.1314 i
 1.51515 -1.96787  45.7101 i
 1.55556 -1.96787  48.4368 i
 1.59596 -1.96787  51.3173 i
 1.63636 -1.96787  54.358 i
 1.67677 -1.96787  57.5652 i
 1.71717 -1.96787  60.9455 i
 1.75758 -1.96787  64.5056 i
 1.79798 -1.96787  68.2524 i
 1.83838 -1.96787  72.193 i
 1.87879 -1.96787  76.3345 i
 1.91919 -1.96787  80.6842 i
 1.9596 -1.96787  85.2497 i
 2 -1.96787  90.0387 i

# IsoCurve 3, 100 points
# x y z type
