
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:       98
-1.99188 -2  98 
-2 -1.96655  98 


# Contour 1, label:       96
-1.97564 -2  96 
-1.98536 -1.9596  96 
-1.99513 -1.91919  96 
-2 -1.89912  96 


# Contour 2, label:       94
-1.95939 -2  94 
-1.9596 -1.99919  94 
-1.96901 -1.9596  94 
-1.97868 -1.91919  94 
-1.9884 -1.87879  94 
-1.99819 -1.83838  94 
-2 -1.83093  94 


# Contour 3, label:       92
-1.94239 -2  92 
-1.95234 -1.9596  92 
-1.9596 -1.93025  92 
-1.96222 -1.91919  92 
-1.97184 -1.87879  92 
-1.98152 -1.83838  92 
-1.99126 -1.79798  92 
-2 -1.76193  92 


# Contour 4, label:       90
 1.99161 -2  90 
 2 -1.96655  90 

-1.92539 -2  90 
-1.93522 -1.9596  90 
-1.94512 -1.91919  90 
-1.95508 -1.87879  90 
-1.9596 -1.8605  90 
-1.96485 -1.83838  90 
-1.97448 -1.79798  90 
-1.98417 -1.75758  90 
-1.99392 -1.71717  90 
-2 -1.69207  90 


# Contour 5, label:       88
 1.97482 -2  88 
 1.98486 -1.9596  88 
 1.99496 -1.91919  88 
 2 -1.89912  88 

-1.90787 -2  88 
-1.91805 -1.9596  88 
-1.91919 -1.95507  88 
-1.92788 -1.91919  88 
-1.93773 -1.87879  88 
-1.94763 -1.83838  88 
-1.9576 -1.79798  88 
-1.9596 -1.78991  88 
-1.96727 -1.75758  88 
-1.97691 -1.71717  88 
-1.9866 -1.67677  88 
-1.99637 -1.63636  88 
-2 -1.62135  88 


# Contour 6, label:       86
 1.95797 -2  86 
 1.9596 -1.99363  86 
 1.96796 -1.9596  86 
 1.97795 -1.91919  86 
 1.98801 -1.87879  86 
 1.99813 -1.83838  86 
 2 -1.83093  86 

-1.89005 -2  86 
-1.90011 -1.9596  86 
-1.91024 -1.91919  86 
-1.91919 -1.88367  86 
-1.92037 -1.87879  86 
-1.93016 -1.83838  86 
-1.94001 -1.79798  86 
-1.94993 -1.75758  86 
-1.9596 -1.71842  86 
-1.95989 -1.71717  86 
-1.96948 -1.67677  86 
-1.97912 -1.63636  86 
-1.98883 -1.59596  86 
-1.9986 -1.55556  86 
-2 -1.54976  86 


# Contour 7, label:       84
 1.94036 -2  84 
 1.95065 -1.9596  84 
 1.9596 -1.92466  84 
 1.96094 -1.91919  84 
 1.97088 -1.87879  84 
 1.98088 -1.83838  84 
 1.99096 -1.79798  84 
 2 -1.76193  84 

-1.87192 -2  84 
-1.87879 -1.97331  84 
-1.88218 -1.9596  84 
-1.89218 -1.91919  84 
-1.90224 -1.87879  84 
-1.91238 -1.83838  84 
-1.91919 -1.81133  84 
-1.92242 -1.79798  84 
-1.93222 -1.75758  84 
-1.94207 -1.71717  84 
-1.95199 -1.67677  84 
-1.9596 -1.64597  84 
-1.96187 -1.63636  84 
-1.97146 -1.59596  84 
-1.98111 -1.55556  84 
-1.99082 -1.51515  84 
-2 -1.47722  84 


# Contour 8, label:       82
