
0 0 -10
0 0.1 -10
0 0.2 -10
0 0.3 -10
0 0.4 -10
0 0.5 -10
0 0.6 -10
0 0.7 -10
0 0.8 -10
0 0.9 -10
0 1 -10
0 1.1 -10
0 1.2 -10
0 1.3 -10
0 1.4 -10
0 1.5 -10
0 1.6 -10
0 1.7 -10
0 1.8 -10
0 1.9 -10
0 2 -10
0 2.1 -10
0 2.2 -10
0 2.3 -10
0 2.4 -10
0 2.5 -10
0 2.6 -10
0 2.7 -10
0 2.8 -10
0 2.9 -10
0 3 -10
0 3.1 -10
0 3.2 -10
0 3.3 -10
0 3.4 -10
0 3.5 -10
0 3.6 -10
0 3.7 -10
0 3.8 -10
0 3.9 -10
0 4 -10
0 4.1 -10
0 4.2 -10
0 4.3 -10
0 4.4 -10
0 4.5 -10
0 4.6 -10
0 4.7 -10
0 4.8 -10
0 4.9 -10
0 5 -10

0.1 0 10
0.1 0.1 1.97975e-16
0.1 0.2 -3.953
0.1 0.3 -5.81199
0.1 0.4 -6.82952
0.1 0.5 -7.45633
0.1 0.6 -7.87738
0.1 0.7 -8.17849
0.1 0.8 -8.40391
0.1 0.9 -8.57851
0.1 1 -8.7173
0.1 1.1 -8.82982
0.1 1.2 -8.92242
0.1 1.3 -8.99948
0.1 1.4 -9.06411
0.1 1.5 -9.11859
0.1 1.6 -9.16457
0.1 1.7 -9.20334
0.1 1.8 -9.23585
0.1 1.9 -9.26284
0.1 2 -9.28487
0.1 2.1 -9.30238
0.1 2.2 -9.31569
0.1 2.3 -9.32504
0.1 2.4 -9.33059
0.1 2.5 -9.33242
0.1 2.6 -9.33059
0.1 2.7 -9.32504
0.1 2.8 -9.31569
0.1 2.9 -9.30238
0.1 3 -9.28487
0.1 3.1 -9.26284
0.1 3.2 -9.23585
0.1 3.3 -9.20334
0.1 3.4 -9.16457
0.1 3.5 -9.11859
0.1 3.6 -9.06411
0.1 3.7 -8.99948
0.1 3.8 -8.92242
0.1 3.9 -8.82982
0.1 4 -8.7173
0.1 4.1 -8.57851
0.1 4.2 -8.40391
0.1 4.3 -8.17849
0.1 4.4 -7.87738
0.1 4.5 -7.45633
0.1 4.6 -6.82952
0.1 4.7 -5.81199
0.1 4.8 -3.953
0.1 4.9 3.27772e-11
0.1 5 10

