5 0.20999
6 0.150087
7 0.11261
8 0.0876094
9 0.0701008
10 0.0573628
11 0.0478074
12 0.0404559
13 0.0346783
14 0.0300558
15 0.0263
16 0.0232068
17 0.0206288
18 0.0184578
19 0.0166122
20 0.0150306
21 0.0136644
22 0.0124764
23 0.0114365
24 0.0105221
25 0.00971254
26 0.00899299
27 0.00835106
28 0.00777521
29 0.00725681
30 0.00678854
31 0.00636429
32 0.00597859
33 0.00562707
34 0.00530547
35 0.00501079
36 0.00473987
37 0.00449056
38 0.00426009
39 0.00404722
40 0.00384969
41 0.00366659
42 0.00349586
43 0.0033371
44 0.00318868
45 0.00304989
46 0.00292039
47 0.00279862
48 0.0026843
49 0.00257702
50 0.00247586
51 0.00238055
52 0.00229076
53 0.00220604
54 0.00212588
55 0.00204998
56 0.00197801
57 0.00190978
58 0.00184495
59 0.0017835
60 0.00172513
61 0.00166949
62 0.00161646
63 0.00156593
64 0.00151771
65 0.00147174
66 0.00142778
67 0.0013857
68 0.00134571
69 0.00130716
70 0.00127049
