5 1.43247
6 0.0234903
7 0.306456
8 0.242999
9 0.132015
10 0.0598898
11 0.0242669
12 0.00907293
13 0.00318583
14 0.00106174
15 0.000337865
16 0.00010458
17 3.25015e-005
18 9.30722e-006
19 2.18501e-006
20 3.1714e-007
21 8.96214e-007
22 2.6921e-007
23 9.80847e-007
24 1.66465e-007
25 3.91941e-007
26 6.56173e-007
27 7.62845e-007
28 4.02574e-007
29 5.49161e-007
30 8.43993e-007
31 1.15221e-006
32 1.85256e-007
33 3.32933e-007
34 8.35554e-007
35 1.33609e-006
36 1.40124e-006
37 1.31546e-006
38 2.94059e-007
39 3.74007e-007
40 2.474e-008
41 4.47629e-007
42 7.46527e-007
43 4.12245e-007
44 4.8925e-007
45 6.96454e-007
46 8.25797e-007
47 5.8397e-007
48 1.47134e-007
49 4.50423e-007
50 2.29775e-007
51 2.02275e-006
52 8.18301e-007
53 6.35305e-007
54 9.08919e-007
55 4.61797e-007
56 6.2375e-007
57 8.04472e-007
58 4.41586e-007
59 1.07061e-006
60 4.10238e-007
61 1.11144e-006
62 5.96629e-007
63 1.23132e-006
64 3.62498e-007
65 5.43837e-010
66 8.31744e-008
67 1.21461e-007
68 2.0405e-007
69 8.07537e-007
70 2.70474e-007
